,class,stained_cell_count,light_stain_count
152,class6,1411,2075
153,class6,2739,1057
154,class3,5888,3585
155,class3,2,0
156,class2,233,3401
157,class2,1078,318
158,class3,0,0
159,class0,4559,3257
160,class1,2384,4971
161,class7,135,15
162,class7,217,186
163,class3,7946,1397
164,class6,3186,165
165,class0,5669,707
166,class7,829,378
167,class6,2524,5718
168,class4,665,1942
169,class6,3823,3488
170,class2,660,11630
171,class6,2164,1848
172,class3,5671,2310
173,class1,2871,4430
174,class1,1554,5971
175,class2,263,0
176,class0,4167,2660
177,class7,10,75
178,class4,5355,248
179,class6,2316,380
180,class6,3301,3412
181,class1,3648,2283
182,class2,782,538
183,class6,2935,1676
184,class2,1749,378
185,class3,4179,957
186,class3,4716,6348
187,class7,105,381
188,class2,194,2449
189,class2,850,330
190,class3,6910,1510
191,class6,2457,6333
192,class6,2115,2848
193,class1,3406,6281
194,class3,4553,3250
195,class7,341,202
196,class0,6806,2648
197,class1,4276,873
198,class3,6082,337
199,class3,5746,6734
200,class2,123,1349
201,class4,1913,5952
202,class5,7479,3357
203,class4,3064,7574
204,class5,195,1310
205,class3,9711,6208
206,class3,5587,3275
207,class1,3768,4657
208,class3,2995,8028
209,class2,810,2417
210,class5,7501,2019
211,class6,3645,3316
212,class3,4378,8089
213,class5,4217,1387
214,class1,3197,1005
215,class1,2954,3470
216,class6,1847,1557
217,class1,2211,5988
218,class3,3316,1023
219,class3,4004,11110
220,class3,8677,3441
221,class2,196,3292
222,class3,4586,1510
223,class6,2445,459
224,class6,3547,3078
225,class3,5217,6386
226,class3,4335,2220
227,class1,3296,3724
228,class7,20,828
229,class5,3481,1152
230,class6,2290,2861
231,class6,3880,6069
232,class1,5012,3125
233,class3,4177,2028
234,class3,3393,10459
235,class7,1103,5366
236,class1,4925,3410
237,class7,121,443
238,class3,4576,2952
239,class5,3932,364
240,class6,2487,6844
241,class1,3428,2736
242,class1,3172,1620
243,class1,4023,3246
244,class7,124,1029
245,class5,7274,1435
246,class1,5711,2376
247,class7,237,1857
248,class6,1687,6105
249,class0,3690,1419
250,class3,4239,1958
251,class3,3420,3687
252,class6,3612,523
253,class6,2097,137
254,class5,4930,452
255,class0,4089,1057
256,class6,2728,1706
257,class7,764,224
258,class3,3675,2569
259,class3,4127,4298
260,class1,3476,2200
261,class6,2375,728
262,class2,653,126
263,class5,3110,222
264,class6,3102,1803
265,class3,0,1
266,class4,4375,290
267,class2,1192,288
268,class3,4801,1108
269,class3,14172,2084
270,class2,176,113
271,class7,399,755
272,class3,4389,2385
273,class5,1492,263
274,class3,8,2503
275,class6,2393,630
276,class0,3482,607
277,class2,1402,1721
278,class2,2692,1613
279,class0,5499,990
280,class5,1689,812
281,class5,3690,1209
282,class7,6,453
283,class2,187,610
284,class6,2812,3567
285,class2,264,155
286,class5,376,3175
287,class2,195,1463
288,class1,3464,6551
289,class4,4932,102
290,class7,15,65
291,class3,5344,2828
292,class5,15,1
293,class1,3987,6726
294,class6,2545,609
295,class0,7294,950
296,class3,4793,6538
297,class4,4837,5645
298,class5,3339,2829
299,class1,3215,6091
300,class7,626,746
301,class6,2720,1208
302,class0,6400,1306
303,class5,5453,578
304,class0,4931,3320
305,class7,96,27
306,class6,2883,1241
307,class1,4235,2043
308,class2,3772,144
309,class5,0,0
310,class7,45,416
311,class2,530,1202
312,class1,3081,11062
313,class2,1311,231
314,class6,1883,737
315,class6,2516,4193
316,class3,4752,1520
317,class5,6456,196
318,class7,71,173
319,class3,5253,1968
320,class6,1479,92
321,class1,3314,6357
322,class6,3301,3321
323,class7,0,883
324,class6,3118,1288
325,class1,3608,1892
326,class5,6529,3912
327,class3,4127,9458
328,class3,5659,11338
329,class4,2467,7970
330,class3,7486,5816
331,class3,4409,6824
332,class1,3158,5250
333,class2,2598,277
334,class1,2687,3706
335,class7,300,657
336,class6,1349,4103
337,class2,1043,15
338,class7,27,4726
339,class3,4130,1563
340,class4,2354,51
341,class6,2894,10024
342,class1,2414,7210
343,class0,5081,495
344,class6,2284,3086
345,class1,3969,4234
346,class3,2400,2521
347,class2,1585,669
348,class1,3758,1802
349,class5,5984,1295
350,class2,1532,1180
351,class1,1055,4059
352,class7,501,232
353,class4,5837,112
354,class3,3400,2920
355,class3,4590,1930
356,class1,3761,956
357,class1,4004,8885
358,class6,2808,2352
359,class7,993,43
360,class3,4708,4121
361,class1,5274,2410
362,class3,3576,2852
363,class5,6331,2739
364,class6,1756,3477
365,class6,3040,982
366,class6,1778,280
367,class2,968,761
368,class3,3009,7483
369,class7,32,403
370,class3,4888,1096
371,class7,659,2964
372,class1,3735,5966
373,class6,2501,3151
374,class3,4741,2117
375,class2,1459,20
376,class6,2594,6797
377,class7,17,16
378,class7,85,94
379,class3,2648,8145
380,class4,4868,112
381,class2,99,4160
382,class3,0,70
383,class1,3345,11754
384,class6,1574,1496
385,class2,2118,342
386,class4,5373,4542
387,class3,2918,2428
388,class6,1318,567
389,class1,2382,3226
390,class0,5159,6691
391,class3,3723,6432
392,class1,3654,3281
393,class0,7622,1346
394,class4,2116,217
395,class4,6038,83
396,class3,4029,1608
397,class3,3641,3191
398,class3,5717,1292
399,class3,3937,4955
400,class7,2,114
401,class1,2672,2820
402,class3,4990,5500
403,class6,3846,1941
404,class4,24,0
405,class5,6240,409
406,class4,1948,1289
407,class1,0,815
408,class4,4497,25
409,class3,12862,880
410,class0,4814,3227
411,class6,2288,1910
412,class4,2840,47
413,class7,5,82
414,class3,3871,3008
415,class1,3083,3955
416,class6,3173,427
417,class6,1914,7426
418,class3,4065,4295
419,class1,2047,5427
420,class3,3290,7218
421,class0,1118,19
422,class5,3048,601
423,class1,2688,5007
424,class5,484,3942
425,class6,3452,1310
426,class5,5467,763
427,class1,730,6356
428,class4,3165,25
429,class3,2054,493
430,class0,3722,1162
431,class7,0,66
432,class7,0,44
433,class2,148,1256
434,class2,386,147
435,class3,4028,4213
436,class1,3046,3143
437,class1,1786,3849
438,class1,2823,7788
439,class2,209,563
440,class7,80,25
441,class3,4186,5933
442,class7,54,262
443,class3,4112,3446
444,class3,4434,5119
445,class1,2588,1264
446,class1,1269,3499
447,class0,4054,2078
448,class1,3898,2569
449,class4,6498,276
450,class0,3621,2393
451,class1,3452,2733
452,class6,3902,5180
453,class3,4124,2746
454,class0,6601,1045
455,class5,4224,1177
456,class6,2745,505
457,class6,4008,11284
458,class7,214,70
459,class6,2613,1403
460,class2,602,1668
461,class0,5049,962
462,class2,934,250
463,class1,2496,2179
464,class3,3558,3408
465,class7,308,118
466,class2,1684,465
467,class1,4005,10205
468,class6,3015,910
469,class1,3563,6628
470,class6,4333,2179
471,class0,5695,363
472,class6,2458,2046
473,class7,2,107
474,class0,4967,1135
475,class7,23,939
476,class6,1654,1640
477,class5,4884,2261
478,class5,5000,275
479,class6,2517,1264
480,class5,1174,546
481,class1,3691,5140
482,class2,824,343
483,class5,1829,4378
484,class6,2467,1209
485,class7,761,218
486,class0,6267,1144
487,class6,1565,812
488,class2,336,625
489,class2,370,2981
490,class0,5131,1569
491,class7,560,120
492,class3,4439,8102
493,class0,5053,1421
494,class6,4864,5484
495,class6,2626,5083
496,class5,1833,581
497,class5,4964,196
498,class7,0,18
499,class7,157,109
500,class7,921,1829
501,class6,2043,7166
502,class7,5,123
503,class6,2043,2486
504,class4,3486,3558
505,class3,7179,3282
506,class1,5014,4417
507,class7,28,33
508,class2,3141,467
509,class3,5825,5060
510,class4,5552,1928
511,class6,3543,1031
512,class6,2567,701
513,class3,3215,6199
514,class3,2305,7119
515,class0,4592,952
516,class1,3471,2680
517,class6,3686,631
518,class2,884,426
519,class7,89,63
520,class1,2547,2413
521,class1,3102,6573
522,class7,6,73
523,class7,24,162
524,class5,3105,904
525,class1,7,2368
526,class3,6407,7451
527,class1,3380,2109
528,class1,3074,4952
529,class7,1,299
530,class5,3854,4281
531,class0,5544,782
532,class2,1661,204
533,class6,2084,545
534,class3,0,0
535,class5,7106,1326
536,class6,3321,3391
537,class3,3793,6116
538,class4,3559,3272
539,class5,3207,1410
540,class7,5,78
541,class3,3401,2339
542,class6,2384,79
543,class1,3632,7705
544,class5,6607,2364
545,class6,2630,4934
546,class4,5013,1544
547,class6,2088,6021
548,class3,4530,1387
549,class4,2944,4501
550,class2,657,189
551,class1,3520,3022
552,class7,808,216
553,class1,4358,5471
554,class6,5267,13443
555,class6,3278,658
556,class3,4071,3840
557,class7,640,455
558,class1,34,66
559,class5,1448,1332
560,class3,43,2327
561,class7,127,142
562,class0,4638,5355
563,class1,4816,7466
564,class3,3095,785
565,class4,3772,9
566,class6,2698,10794
567,class6,3657,1072
568,class1,3123,6547
569,class1,3558,4350
570,class6,2956,4461
571,class3,8333,4492
572,class3,2510,3605
573,class3,5038,607
574,class7,0,72
575,class3,6910,10086
576,class6,3305,1038
577,class7,555,376
578,class1,2625,3320
579,class5,4275,108
580,class7,290,2528
581,class1,3338,3776
582,class6,3574,2851
583,class3,4071,845
584,class7,63,188
585,class0,6094,1079
586,class6,3094,5151
587,class6,2960,7297
588,class6,2279,4285
589,class2,631,8228
590,class6,1920,402
591,class1,4641,1870
592,class1,2903,3594
593,class7,491,671
594,class6,2847,5435
595,class5,5386,5434
596,class2,413,1351
597,class2,666,4
598,class1,3015,5424
599,class6,2230,291
600,class3,4572,1661
601,class7,265,1014
602,class6,3373,482
603,class7,175,207
604,class5,6294,3109
605,class6,3464,834
606,class3,4105,722
607,class4,3973,2680
608,class3,4296,7270
609,class3,7660,4746
610,class4,4,7
611,class7,63,4485
612,class6,2569,129
613,class6,4060,1066
614,class2,253,73
615,class4,4530,2212
616,class4,13,1
617,class7,256,10
618,class3,6876,4681
619,class1,3557,4587
620,class6,4885,3726
621,class3,2957,8093
622,class3,0,9
623,class2,2137,506
624,class5,4227,1046
625,class2,1072,277
626,class1,4757,1111
627,class1,2606,4099
628,class5,273,966
629,class3,6194,3822
630,class4,4144,1733
631,class5,6417,1795
632,class1,4787,5055
633,class3,3652,4132
634,class3,4056,4191
635,class6,2437,840
636,class1,1794,5056
637,class5,7117,914
638,class6,2317,1867
639,class3,4660,2681
640,class0,4866,1723
641,class3,7663,4746
642,class3,4434,5972
643,class7,162,1204
644,class0,3354,3808
645,class6,2151,1248
646,class2,183,100
647,class4,5703,5036
648,class3,5054,739
649,class3,4041,8011
650,class2,2135,889
651,class5,3081,158
652,class7,44,522
653,class3,6383,857
654,class3,4303,6699
655,class2,2942,139
656,class0,3941,754
657,class0,2542,7958
658,class3,3961,6618
659,class3,4016,2459
660,class6,2921,1590
661,class1,3865,5716
662,class7,330,511
663,class1,3013,4028
664,class2,657,1949
665,class5,4580,1760
666,class3,3971,7133
667,class1,2987,7976
668,class4,6472,1733
669,class7,230,488
670,class2,1181,1022
671,class4,3721,348
672,class2,300,1288
673,class6,2522,2900
674,class4,3573,231
675,class5,4169,2649
676,class5,6613,1365
677,class6,3536,6094
678,class6,4269,623
679,class1,4678,2654
680,class0,4453,6297
681,class2,1154,1551
682,class3,4496,4050
683,class1,134,2174
684,class6,2914,2166
685,class1,3383,929
686,class3,3723,9985
687,class6,2163,2123
688,class3,3799,7371
689,class6,2147,2655
690,class1,2923,8251
691,class6,2435,4250
692,class6,2839,4486
693,class3,12140,3111
694,class0,4449,4848
695,class5,3569,465
696,class3,1357,2278
697,class6,2784,5969
698,class4,2624,299
699,class3,2448,3729
700,class6,3779,444
701,class2,106,947
702,class6,3181,460
703,class2,1880,762
704,class1,3497,3916
705,class7,291,305
706,class6,3073,2743
707,class6,3166,3234
708,class7,6,507
709,class6,3150,3256
710,class6,3012,1152
711,class7,102,374
712,class0,6492,3829
713,class1,3221,3217
714,class1,4369,1010
715,class6,3010,4197
716,class1,3873,2549
717,class6,2564,1418
718,class3,2688,1102
719,class0,4805,1561
720,class3,3046,5172
721,class1,2753,3506
722,class1,3194,2287
723,class2,4621,773
724,class4,4051,601
725,class7,211,169
726,class6,2703,1371
727,class1,3805,1712
728,class1,7,340
729,class7,69,196
730,class6,2655,4208
731,class3,5324,4024
732,class1,2754,5727
733,class6,2605,338
734,class7,166,269
735,class1,3520,4412
736,class5,2129,209
737,class1,3667,4753
738,class2,282,978
739,class4,2328,4032
740,class7,197,72
741,class3,4525,2583
742,class2,473,0
743,class6,2464,203
744,class6,1955,532
745,class4,4775,7035
746,class7,4,42
747,class5,7377,2209
748,class2,871,698
749,class6,2776,569
750,class4,5951,62
751,class1,4150,2255
752,class2,3035,906
753,class1,0,13
754,class5,4073,451
755,class7,51,4328
756,class5,3289,111
757,class3,2936,3956
758,class0,4124,2199
759,class1,2285,6778
760,class4,2486,6090
761,class5,502,581
762,class0,6212,1408
763,class0,7034,3699
764,class3,7098,633
765,class3,7676,2109
766,class1,1314,4762
767,class1,4268,2539
768,class3,4990,3009
769,class5,2461,241
770,class7,556,4546
771,class3,5496,987
772,class4,3900,3885
773,class0,3345,703
774,class2,1158,2097
775,class3,4144,1680
776,class3,4514,1234
777,class7,125,1090
778,class3,5314,3694
779,class0,4739,5233
780,class3,3419,4890
781,class3,3836,3947
782,class6,2841,1017
783,class6,2982,535
784,class6,2722,4256
785,class6,2966,409
786,class6,2458,7673
787,class2,2653,396
788,class5,3620,3479
789,class5,2579,288
790,class2,3128,596
791,class2,1090,460
792,class7,824,443
793,class6,3050,1585
794,class3,4242,3350
795,class3,3925,2885
796,class3,2596,564
797,class6,3550,2829
798,class6,3307,11219
799,class0,4230,6237
800,class7,67,224
801,class4,4935,1321
802,class5,5728,1710
803,class6,2809,633
804,class1,4289,4537
805,class6,2856,972
806,class7,444,105
807,class1,4133,7615
808,class4,154,0
809,class6,3108,9226
810,class0,6466,779
811,class6,3152,283
812,class4,2696,2797
813,class6,4045,1197
814,class5,2479,841
815,class3,3605,681
816,class3,2714,5740
817,class3,3966,6766
818,class4,4848,727
819,class5,5526,3134
820,class4,340,0
821,class0,3923,1273
822,class1,2944,1434
823,class5,6212,2593
824,class4,2090,1122
825,class7,0,110
826,class3,4179,1421
827,class1,2848,3702
828,class5,841,1442
829,class3,63,165
830,class0,7592,3051
831,class1,3470,4279
832,class6,2153,5735
833,class6,3675,336
834,class2,592,526
835,class7,11,282
836,class7,276,391
837,class2,729,131
838,class3,5725,7106
839,class5,7364,1077
840,class6,2478,10682
841,class7,656,53
842,class3,7932,3567
843,class5,3124,545
844,class3,3172,6816
845,class3,5096,5673
846,class3,4257,1561
847,class5,6614,5190
848,class1,4223,3755
849,class6,2135,224
850,class2,259,278
851,class7,8,268
852,class1,1841,9669
853,class2,269,1277
854,class7,68,24
855,class2,1208,214
856,class5,2762,600
857,class1,4578,3449
858,class6,2548,2679
859,class2,4366,916
860,class3,6982,2214
861,class1,4000,5567
862,class1,5635,2226
863,class1,4723,5410
864,class1,4134,5437
865,class6,2238,5932
866,class1,3912,1416
867,class2,174,564
868,class6,2257,640
869,class6,2455,340
870,class2,127,2474
871,class6,2454,2614
872,class7,6,86
873,class6,3954,4861
874,class7,73,1516
875,class3,5132,1367
876,class1,3929,2145
877,class7,7,371
878,class3,3987,1602
879,class6,3194,4320
880,class3,8002,1066
881,class3,12120,1189
882,class2,593,480
883,class0,4349,1162
884,class6,2436,440
885,class7,746,483
886,class5,4135,7088
887,class1,2894,5644
888,class2,746,1124
889,class6,2113,1728
890,class6,3129,867
891,class1,2588,6531
892,class5,3832,813
893,class3,7285,3511
894,class6,3525,2899
895,class4,4374,5440
896,class3,3720,503
897,class6,3629,4003
898,class7,1958,3684
899,class1,4305,4808
900,class3,4077,10510
901,class7,44,219
902,class7,65,95
903,class6,2720,2155
904,class3,0,0
905,class4,1,0
906,class2,781,246
907,class3,3130,1818
908,class1,3628,1670
909,class6,2843,473
910,class1,4259,2100
911,class7,54,241
912,class5,5610,3755
913,class0,5035,1515
914,class1,3822,5223
915,class2,760,93
916,class4,2708,1319
917,class6,2797,505
918,class1,3222,1510
919,class3,4029,1762
920,class0,6287,1291
921,class1,1720,8862
922,class0,5459,3608
923,class3,5822,5086
924,class7,60,558
925,class5,1398,643
926,class6,3673,1472
927,class6,2395,1324
928,class5,3310,204
929,class1,2803,4826
930,class4,3125,472
931,class6,3441,324
932,class1,3219,2935
933,class3,5706,7399
934,class6,2098,602
935,class2,171,975
936,class1,2592,8577
937,class7,230,100
938,class5,0,0
939,class2,788,1585
940,class1,6,134
941,class4,2489,17
942,class1,3337,1726
943,class6,2261,7147
944,class2,203,1256
945,class7,96,358
946,class6,1903,1985
947,class3,9386,3233
948,class2,793,7076
949,class3,3394,8452
950,class7,192,977
951,class3,3972,1579
952,class6,1839,2878
953,class3,0,0
954,class5,4747,5625
955,class6,1362,3194
956,class6,3173,403
957,class2,167,817
958,class7,922,85
959,class3,2641,1935
960,class3,0,1439
961,class7,580,51
962,class4,2952,27
963,class6,3220,3225
964,class7,321,44
965,class2,929,703
966,class7,595,0
967,class3,5987,3422
968,class6,3394,9050
969,class7,69,242
970,class1,3501,5849
971,class1,4261,5468
972,class3,3918,4580
973,class4,2484,5523
974,class3,1810,2043
975,class0,5308,349
976,class7,119,1364
977,class6,2541,6459
978,class5,1284,850
979,class0,4565,1198
980,class3,4553,9707
981,class5,4098,401
982,class6,2770,520
983,class1,3107,9199
984,class6,3299,936
985,class3,7774,5690
986,class1,2439,5889
987,class4,4456,151
988,class3,5191,3366
989,class2,638,2667
990,class7,369,29
991,class1,2608,2296
992,class5,1291,448
993,class3,13,1
994,class7,850,3033
995,class1,3780,9217
996,class3,5863,2318
997,class6,2885,352
998,class1,3440,6901
999,class6,2476,1236
1000,class5,1481,817
1001,class3,3141,2517
1002,class7,848,266
1003,class3,0,0
1004,class7,384,67
1005,class6,2916,5607
1006,class2,259,1794
1007,class7,9,70
1008,class4,4535,3640
1009,class7,569,89
1010,class5,7904,1514
1011,class0,4367,1149
1012,class3,4244,2317
1013,class2,770,456
1014,class6,2325,1244
1015,class1,2570,5933
1016,class4,5382,2070
1017,class6,3244,265
1018,class1,3678,4211
1019,class6,1915,2113
1020,class3,5246,7284
1021,class5,5394,729
1022,class6,1310,233
1023,class3,6324,4791
1024,class0,5324,722
1025,class3,4084,4879
1026,class3,5068,6734
1027,class7,133,181
1028,class3,4846,274
1029,class7,185,218
1030,class7,283,25
1031,class1,3603,1271
1032,class4,4774,25
1033,class1,3032,6216
1034,class3,4399,4915
1035,class1,6257,4213
1036,class3,3019,4484
1037,class3,2796,8106
1038,class6,1852,3107
1039,class3,5381,3481
1040,class3,6657,8734
1041,class2,1144,30
1042,class0,5010,4383
1043,class2,263,217
1044,class2,134,2
1045,class3,4148,1433
1046,class3,6512,5252
1047,class1,3179,7890
1048,class5,4207,520
1049,class5,5803,871
1050,class3,4276,1745
1051,class1,1815,7094
1052,class7,10,33
1053,class1,2403,4483
1054,class0,3726,2337
1055,class7,1160,106
1056,class1,3078,4061
1057,class4,92,0
1058,class3,5680,2879
1059,class7,23,53
1060,class5,4178,3071
1061,class2,697,926
1062,class4,3924,4730
1063,class2,125,1400
1064,class1,2051,8653
1065,class0,4419,2539
1066,class6,2437,351
1067,class2,562,948
1068,class1,4606,5662
1069,class3,4117,8695
1070,class6,2869,2911
1071,class4,2812,295
1072,class6,3958,1742
1073,class4,5041,348
1074,class1,3911,7849
1075,class1,1887,6403
1076,class5,1862,2771
1077,class1,444,8481
1078,class1,3319,6721
1079,class0,4935,554
1080,class3,4862,647
1081,class6,2723,1635
1082,class1,2893,8262
1083,class4,6359,2309
1084,class7,650,3447
1085,class7,191,886
1086,class2,222,5825
1087,class4,5666,84
1088,class2,448,2851
1089,class3,5669,2721
1090,class4,4503,1294
1091,class3,3685,3953
1092,class0,6047,1714
1093,class6,3059,2442
1094,class7,203,460
1095,class3,8536,3130
1096,class3,3369,2280
1097,class6,2271,228
1098,class4,1804,5777
1099,class0,8615,1131
1100,class5,4049,3444
1101,class1,3297,4285
1102,class3,4968,1035
1103,class5,973,1681
1104,class1,1144,4925
1105,class3,3989,3312
1106,class1,3502,5766
1107,class6,3924,514
1108,class7,26,166
1109,class5,1928,1206
1110,class0,6102,1578
1111,class3,3944,4548
1112,class6,1824,4072
1113,class1,3515,7100
1114,class2,83,3079
1115,class6,2149,2462
1116,class3,3975,4647
1117,class3,5350,4780
1118,class2,169,4633
1119,class1,2809,5509
1120,class6,1209,1238
1121,class3,4241,574
1122,class0,5197,932
1123,class1,3767,5785
1124,class7,1,1983
1125,class3,5800,1779
1126,class6,2112,266
1127,class0,5626,1545
1128,class6,1319,365
1129,class0,4447,2231
1130,class1,1592,2948
1131,class5,6628,764
1132,class7,12,375
1133,class3,2775,6667
1134,class6,3392,6773
1135,class2,1654,986
1136,class6,1484,356
1137,class6,2375,4084
1138,class2,1576,1557
1139,class1,2291,5397
1140,class3,4421,3132
1141,class1,4515,3613
1142,class2,235,206
1143,class7,8,440
1144,class6,2666,417
1145,class2,1607,4868
1146,class5,3217,475
1147,class7,0,98
1148,class2,2978,20
1149,class7,43,214
1150,class1,2631,3456
1151,class3,7598,2624
1152,class7,95,2867
1153,class7,932,229
1154,class7,67,184
1155,class3,4435,4879
1156,class6,2855,3576
1157,class1,3406,2720
1158,class2,444,241
1159,class1,2351,7164
1160,class1,2055,5831
1161,class6,3369,426
1162,class6,2560,1688
1163,class4,3310,1392
1164,class3,2880,593
1165,class3,3945,2290
1166,class6,3548,4567
1167,class6,2865,6069
1168,class7,128,17
1169,class0,5794,231
1170,class5,2507,2817
1171,class1,1956,4747
1172,class6,2729,619
1173,class7,568,2573
1174,class5,5032,1185
1175,class4,3529,836
1176,class3,17,200
1177,class2,2808,496
1178,class1,2944,1199
1179,class0,4513,2112
1180,class6,3891,4701
1181,class3,4614,11278
1182,class2,1271,255
1183,class7,732,153
1184,class4,5651,3389
1185,class3,5744,1249
1186,class1,4590,4994
1187,class1,3434,5204
1188,class4,4094,19
1189,class7,488,2457
1190,class0,4288,822
1191,class3,5457,2071
1192,class7,10,169
1193,class6,2123,2959
1194,class4,5072,4543
1195,class0,5463,2693
1196,class6,2122,813
1197,class6,3028,5681
1198,class3,3243,1144
1199,class7,11,355
1200,class4,5100,163
1201,class1,705,2040
1202,class2,788,3357
1203,class7,631,2018
1204,class4,4348,2738
1205,class2,4203,297
1206,class6,2836,357
1207,class3,3238,5089
1208,class5,6390,1863
1209,class4,5489,298
1210,class3,2699,1221
1211,class6,2733,7585
1212,class6,2115,2742
1213,class2,389,2138
1214,class6,2472,134
1215,class5,4448,1645
1216,class3,5598,3608
1217,class6,4086,1335
1218,class6,2721,442
1219,class5,3752,122
1220,class7,589,5650
1221,class7,298,77
1222,class5,2731,5498
1223,class3,4127,2100
1224,class2,963,1008
1225,class7,407,19
1226,class0,5344,1683
1227,class1,2693,2021
1228,class7,958,4
1229,class3,3400,3945
1230,class6,2339,818
1231,class1,3441,3470
1232,class0,5259,6524
1233,class3,3296,1188
1234,class2,1423,1511
1235,class2,85,4440
1236,class2,234,652
1237,class3,4821,1190
1238,class1,2404,2505
1239,class1,2628,7358
1240,class0,2814,665
1241,class7,310,59
1242,class3,7728,1724
1243,class3,2487,5012
1244,class5,54,6
1245,class7,759,1418
1246,class3,7166,958
1247,class2,1071,3334
1248,class3,3,0
1249,class6,3261,2927
1250,class1,4310,2234
1251,class3,3292,2261
1252,class3,5628,3162
1253,class3,3361,4364
1254,class6,2841,271
1255,class6,3221,316
1256,class1,2824,2184
1257,class6,2159,1812
1258,class0,2721,956
1259,class7,52,250
1260,class6,3367,4559
1261,class3,4208,489
1262,class7,297,1686
1263,class7,5,531
1264,class1,3185,3951
1265,class7,41,999
1266,class2,1226,1980
1267,class3,3723,4030
1268,class6,2815,7438
1269,class4,4207,1742
1270,class6,2240,669
1271,class2,884,684
1272,class1,6504,3523
1273,class2,278,267
1274,class3,3851,1727
1275,class4,2690,54
1276,class3,2990,3148
1277,class3,4163,468
1278,class6,2821,408
1279,class3,4516,2644
1280,class4,3518,155
1281,class1,2990,4004
1282,class4,3982,2404
1283,class4,2,0
1284,class5,3361,1082
1285,class0,3551,471
1286,class3,8398,1825
1287,class6,2886,3272
1288,class1,3006,2794
1289,class5,618,922
1290,class5,4097,701
1291,class3,4126,1228
1292,class1,3579,5126
1293,class5,5710,5079
1294,class3,6849,4217
1295,class6,3658,719
1296,class1,2584,5533
1297,class1,4144,3738
1298,class3,1530,9142
1299,class6,2331,5235
1300,class6,3176,2785
1301,class1,2970,3511
1302,class6,4420,4546
1303,class2,599,263
1304,class4,5396,69
1305,class0,6032,2857
1306,class7,81,1310
1307,class7,563,2742
1308,class6,2156,7336
1309,class0,5538,1077
1310,class6,2406,1344
1311,class0,402,2
